name,耗时,做法,口味,工艺,类型,label,id,难度,图片
菠萝炒饭,十分钟,1:准备食材，将菠萝肉取出切丁备用，菠萝壳留着。2:锅中加入食用油，油热放葱花翻炒出香味。3:加入切好的鸡肉丁翻炒。4:加入玉米粒，胡萝卜丁。5:加入生抽和蚝油翻炒均匀。6:加入大米饭、菠萝丁和盐。7:翻炒均匀即可关火。8:将炒好的米饭装入菠萝壳中就OK了。,清淡,炒,主食,recipe,112,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163928204710847910897499.JPG?x-oss-process=style/p800
清炒快菜,十分钟,1:快菜浸泡一会儿洗净。2:切成小段儿。3:红虾葱花备用。4:热锅凉油放入葱花红虾。5:放入快菜大火翻炒几下。6:放入少许盐调味。7:继续翻炒均匀，出锅前放入少许鸡精调味即可食用。8:成品图！。9:成品图！。,清淡,炒,热菜,recipe,113,简单,https://i8.meishichina.com/attachment/recipe/2021/11/18/2021111816372278412602687345450.jpg?x-oss-process=style/p800
双蛋双拼沙拉,十分钟,1:白煮蛋两个，松花蛋一个。2:苦菊一小把洗净，切两段。3:摆入盘中。4:鸡蛋切四瓣。5:松花蛋同样切。6:摆盘。7:橘子分瓣。8:松花蛋也放进去。9:枸杞子提前温水泡软，摆好，淋入丘北焙煎口味沙拉汁。10:成品图！。11:成品图！。,清淡,拌,凉菜,recipe,114,简单,https://i8.meishichina.com/attachment/recipe/2021/12/08/2021120816389627105679787345450.jpg?x-oss-process=style/p800
波兰种黑全麦吐司,一小时,1:主面团材料和波兰种面团准备好；蓝边碗中即为波兰种面团，需要提前数小时制作，室温下发酵或者冰箱冷藏发酵均可，面团是原来的近3倍左右可使用；。2:除黄油和盐外的所有材料都放入揉面桶中；。3:先低速搅打成团，再转高速搅打，面团能撑出粗膜时，加软化的黄油和盐；。4:先低速搅打，使黄油完全融入面团，再转高速搅打，面团不粘盆壁、不粘手，能撑出有弹性的薄膜；因为有黑全麦的介入，所以很难达到完全阶段；。5:面团收圆，放大盆里，蒙保鲜膜，基础发酵温度28；。6:发至2倍大，手指蘸面粉在顶部戳洞，不塌陷不回缩；。7:面团放在案板上，轻轻拍打排气，称重分成6等份，分别揉圆，松弛15分钟左右；。8:擀成椭圆形，卷成卷，松弛20分钟左右；。9:面卷轻轻按扁，光滑面朝上，擀成长约40公分的细长条，再翻过来擀两下；。10:从上向下卷成卷，码放在450克吐司盒中，二次发酵，温度35，湿度80；。11:发至8、9分满时，烤箱预热180度；表面可刷蛋液也可不刷；。12:送入预热好的烤箱中下层，180度，35分钟，表面上色满意后加盖锡纸；出炉后震几下，脱模，晾凉后入袋保存。13:波兰种黑全麦吐司，麦香浓郁，蓬松柔软！。,清淡,烘焙,烘焙,recipe,115,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392799199371747513584.jpg?x-oss-process=style/p800
凉拌青萝卜,十分钟,1:青萝卜切丝。2:荆芥洗净。3:加入适量生抽和香醋。4:加入适量麻油。5:加入荆芥。6:拍张美图。7:开动啦。,酸咸,拌,凉菜,recipe,116,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116392092668181885899877.JPG?x-oss-process=style/p800
鲮鱼蛋卷炒洋葱,十分钟,1:鲮鱼蛋卷切小段。2:洋葱切丝。3:锅子烧热放入鱼卷。4:两面煎至金黄色。5:放入洋葱晃动锅子炒熟。6:洒入少许白酒和生抽。7:调味即可。8:开动啦。,咸鲜,炒,热菜,recipe,117,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116392094433465555899877.JPG?x-oss-process=style/p800
网红牛奶乳酪包，松软甜蜜，口感香醇，制作简单，超级好吃。,数小时,1:把制作面包的原料，高筋面粉200克过筛一下，防止面粉抱团结块。加入白砂糖20克、酵母4克、盐2克、鸡蛋1个、牛奶90克，全部放入料理机里搅拌。2:趁着搅拌面团的时候，抹茶粉2克过筛一下，加入热牛奶8克，搅拌成糊状备用。3:再取奶油奶酪100克，隔热水化成糊状，加入白砂糖10克、牛奶20克。4:搅拌均匀后放冰箱冷藏备用。5:面团先搅拌至出粗糙的膜。6:加入室温软化完全的无盐黄油25克，继续搅拌。7:直到搅拌至出薄薄的面包膜。8:把搅拌好的面团，均匀的分成2份。9:一份原味的包上保鲜膜，室温发酵至2倍大。10:另一个面团加入刚才准备的抹茶糊，继续用料理机搅拌。11:搅拌至颜色均匀后取出。12:同样包上保鲜膜，室温发酵至2倍大。13:发酵好的面团取出来，再排一下气。14:揉圆后放入烤箱二次发酵至1.5倍大，烤箱里放2碗热水，帮助发酵。15:烤箱170℃，烤制17-20分钟，最后5分钟表面盖一层锡纸，防止表面烤的太焦了。16:另外准备全脂奶粉30克，加入白砂糖10克，搅拌均匀后摊开来放在盘子里。17:烤好后取出来，放凉后对切成4份。18:在中间切2刀。19:抹上前面准备好的奶酪糊。20:再沾满准备好的奶粉即可。21:乳酪面包，完成O(∩_∩)O。22:夹上奶油奶酪夹心，沾一层奶粉，瞬间颜值上升了一个层次。23:松软甜蜜，口感香醇，超级好吃。,甜味,烘焙,烘焙,recipe,118,高级,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927872858235912121547.jpg?x-oss-process=style/p800
巧克力奥利奥蛋挞,廿分钟,1:碗中把鸡蛋打散，加入少许白砂糖，加半盒牛奶约150毫升，加2小勺奶油，有条件的话，可以放两勺炼乳更香，把他们的搅拌好。2:解冻后的蛋挞皮，把调好的蛋挞液放进去，空气炸锅160度15分钟。3:准备好巧克力隔水熔化，水要加开水化的更快。4:不一会小盆里巧克力熔化了。5:烤好蛋挞上面淋些巧克力酱。6:在洒上可可粉。7:奥利奥用刀撬开。8:放蛋挺上即可。9:简单美味的下午茶小点心！。,甜味,烤,烘焙,recipe,119,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392779500014868010602.jpg?x-oss-process=style/p800
乌鸡虫草汤,廿分钟,1:鲜乌鸡肉焯水洗净备用。2:虫草洗净备用。3:切好姜片，胡椒粒用擀面杖敲碎，喜欢当归味可以放大块些的，不喜欢用一点点提味就好。4:所有食材入汤锅，加入适量清水，加盐，料酒，大火煮开15分钟即可食用，不用煮太久，那样变老火汤了味道不够清甜爽口。5:汤汁很入味，非常的清甜哟，一人两碗根本停不下来。,咸香,煮,汤类,recipe,120,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927680458357111567944.JPG?x-oss-process=style/p800
青花椒火腿肠土豆饼,简单,1:用料：土豆2个（约500克），青花椒盐适量，盐少许，火腿肠80克，蛋液适量，面包糠适量，油适量。2:土豆洗净蒸熟。3:趁热去皮捣泥。4:加入盐和青花椒盐，充分抓匀。5:加入切碎的火腿肠丁。6:抓拌均匀。7:分成10等分，拍成饼状。8:放入蛋液中，裹上一层蛋液。9:再放入面包糠中，裹一层面包糠。10:电饼铛预热，倒浅浅一层油，放入裹好面包糠的土豆饼。11:盖上盖子，上下盘加热数分钟。12:揭盖，底部煎出金黄，翻面，将另一面也煎成金黄。13:两面金黄，出锅。,麻香,一小时,,recipe,121,,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927176410488634360.jpg?x-oss-process=style/p800
蜂蜜柚子茶,半小时,1:将柚子洗干净表皮剥开。2:取出柚子肉。3:将柚子皮切掉里面白色的瓤不要。4:切成细丝。5:3、取一小锅加入一小勺盐和适量水烧开。6:水开后下柚子皮煮一两分钟，灼掉涩味。7:取出用凉水冲洗拧干备用。8:上砂锅加入清水和黄冰糖煮开。9:加入柚子肉和刚才准备好的柚子皮盖紧煮开，转中小火，煮30分钟后左右鼓起大泡泡。10:煮至如图中出胶原粘稠状即可关火。11:最后等凉却至微温，加入蜂蜜拌均。12:这样柚子茶就做好了。13:装入干净消过毒的玻璃瓶子密封保存。14:成品～晶莹剔透的。服用时用开水冲调，早晚来一杯即美容又保健。,甜味,煮,饮品,recipe,122,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392686142216476591561.JPG?x-oss-process=style/p800
丝瓜炒肉片,廿分钟,1:猪肉切片装入碗中，倒入一勺料酒。2:一勺生抽。3:一勺淀粉和盐。4:适量胡椒粉。5:一勺食用油。6:抓拌均匀。7:丝瓜去皮切滚刀块。8:装入盘中待用。9:大蒜去衣切沫。10:热锅下油，放入肉片。11:熟透后盛出待用。12:另热锅下油，放入蒜末爆香。13:倒入丝瓜翻炒。14:加入盐调味。15:倒入炒好的肉片，翻炒均匀即可出锅。16:一道丝瓜炒肉片就做好了～。,咸鲜,炒,热菜,recipe,123,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927063722344212864764.jpg?x-oss-process=style/p800
韭菜盒子,一小时,1:韭菜洗净。2:切碎，放适量盐，搅拌，放置20分钟。3:粉丝泡温水。4:挤干韭菜水，切碎粉丝。5:放融化的猪油，香油，适量盐，搅拌匀。6:面粉一半放开水，用筷子搅成絮状，另一半放冷水，搅絮状。7:揉成比较软的面团，盖好盖子，醒10分钟。8:案板抹油，取适量面团，擀成大圆片。9:放入韭菜粉丝馅，包成包子样。10:按扁，用牙签插几个孔，再次按扁。11:反面比较光滑。12:电饼铛小火烘熟，锅里不需放油。13:烘成两面面团有淡淡黄色。14:盛盘即可。,其他,其他,主食,recipe,124,简单,https://i8.meishichina.com/attachment/recipe/2021/04/19/202104191618816054191207230225.jpg?x-oss-process=style/p800
白萝卜丝肉丝卤面,半小时,1:白萝卜洗净，削皮，切丝。2:肉丝备用。3:肉丝加入少许料酒和老抽腌制五分钟即可。4:蒜切片，干辣椒切段，姜切丝。5:挂面备用。6:水开，上笼蒸15分钟，已蒸好。7:锅烧热放适量油，倒入肉丝煸炒一下，再倒入辣椒、蒜和姜炒香，继续倒入白萝卜丝加适量盐、少许老抽和五香粉调味，翻炒几下。8:加适量水刚刚没过锅里的食材，大火翻炒一分钟即可。9:把蒸熟的面条倒在菜上，如图所示。 。10:用筷子搅拌均匀，如图所示。11:水开，上笼蒸十分钟。12:已蒸好。13:即可出锅。14:装盘即食。15:香而筋道。,五香,卤,面条,recipe,125,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163925815306813312270318.jpg?x-oss-process=style/p800
肉末炒毛豆米,廿分钟,1:将猪肉剁成肉末，装入碗中。2:加入料酒、生抽、食用油。3:加入少许盐。4:一勺淀粉。5:搅拌均匀腌制十五分钟。6:毛豆米清洗干净。7:胡萝卜去皮切丁。8:大蒜去衣切沫，葱切段。9:起锅烧水，水开倒入毛豆米和胡萝卜丁绰水。10:捞出过凉水，沥干水分待用。11:热锅下油，倒入蒜末爆香。12:放入两勺豆瓣酱炒出红油。13:倒入肉末翻炒。14:倒入毛豆米和胡萝卜翻炒。15:加入适量清水煮至汤汁变浓，出锅前撒入葱段即可。16:一道美味下饭菜就做好了～。,酱香,炒,热菜,recipe,126,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163923826741068612864764.jpg?x-oss-process=style/p800
鸡丁肉酱螺丝意面,半小时,1:准备主要食材：意大利螺丝面，洋葱，番茄，大蒜，鸡胸肉。2:鸡肉切小丁，番茄去皮切块，洋葱大蒜切碎。3:鸡肉丁中放盐，白胡椒粉，玉米淀粉，一勺味极鲜酱油，最后放一勺食用油混合均匀，腌制十分钟。4:另外起锅，放入适量的水，加盐，油，水开后放入螺丝意面煮15-20分钟。5:煮面期间制作肉酱：锅中加少许底油，放鸡丁翻炒变色盛出来备用。6:锅中放黄油融化。7:加大蒜洋葱碎煸炒变软。8:放番茄翻炒，加少许水煮一分钟。9:加盐，糖，黑胡椒碎，一勺臻品蚝油，两勺味极鲜酱油。10:煮十几秒。11:把煮好的螺丝意面捞出来放入肉酱中，翻拌均匀关火。12:好吃的鸡丁肉酱螺丝意面制作完成，中西结合，别有一番风味。,怪味,烧,面条,recipe,127,普通,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163923488402695010904953.jpg?x-oss-process=style/p800
平菇韭菜炒肉,十分钟,1:平菇掰开、洗净、焯水、备用～韭菜洗净切段备用。2:热油～葱爆香～五花肉炒香。3:先放入平菇翻炒均匀～再放入韭菜翻炒均匀。4:炒至韭菜变软～加入生抽（可多加，就不用再加盐了）～少许鸡精调味。5:请用餐😊。,咸鲜,炒,热菜,recipe,128,简单,https://i8.meishichina.com/attachment/recipe/2021/12/04/20211204163862307960797510910412.jpg?x-oss-process=style/p800
豌豆炒腊肠,十分钟,1:腊肠放入锅中蒸熟。2:取出切丁。3:玉米掰下来清洗干净待用。4:豌豆清洗干净待用。5:大蒜切沫。6:水开倒入豌豆和玉米焯水。7:热锅下油，倒入腊肠丁炒香盛出。8:再热锅下油，倒入蒜末炒香。9:倒入豌豆玉米粒翻炒均匀。10:加入少许盐。11:倒入腊肠丁。12:翻炒均匀即可。13:一道豌豆炒腊肠就做好啦～。,蒜香,炒,热菜,recipe,129,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163922693025866612864764.jpg?x-oss-process=style/p800
猪油,半小时,1:肥猪肉切块放料酒焯水。2:抄过水的猪油加适量清水大火把水分熬干。3:熬干水分加入葱姜小火继续熬。4:小火慢慢在出油，非常清澈。5:把肥肉熬黄捞出。6:肥肉块。7:容器放几个黄豆，倒入猪油。8:放凉冷却好的猪油。9:雪白雪白。10:猪油特别香。,咸鲜,烧,家常菜,recipe,130,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163922585641727110882460.JPG?x-oss-process=style/p800
酒酿枸杞红枣山药圆子汤,廿分钟,1:把山药清洗干净后去皮  ，切成段放入碗中 ， 放入高压锅煮熟。2: 把煮熟的山药取出，趁热用叉子压成泥。3:把山药泥与糯米粉混合，加入适量的清水揉成团。4:再把山药糯米粉团搓成小小的圆子备用。5:烧开一锅水  ，水开后放入圆子。6:再放入红枣片，放入适量的红糖调味 （不要太甜  ，主要增色）。7: 放入一小块冰糖调味。8:等圆子个个都浮起来 ，放入酒酿与枸杞。9:出锅装碗开吃。10:早餐搭配。11:再来  ，加了银耳与鸡蛋。,甜味,煮,甜品,recipe,131,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163922132179481525906.jpg?x-oss-process=style/p800
奥利奥海盐毛巾卷,半小时,1:材料备齐，黄油融化成液体。2:鸡蛋加细砂糖打散拌匀即可。3:加入牛奶拌匀。4:加入过筛的蛋糕粉和可可粉拌匀。5:加入融化的黄油拌匀。6:面糊过筛后冷藏15分钟。7:这个时候把饼干压成小碎块，我用的是没有夹心的奥奥饼干，不用去夹心，比较省事。8:学厨平底锅稍微加热，倒入一勺蛋糕糊，转动锅子，摊成薄饼。9:做好的薄饼包好油纸，再冷藏15分钟，这个时候把淡奶油打发好。10:饼皮铺在油纸上，一张压在另一张。每份是5张皮。11:涂上一半量的淡奶油，边缘不用涂抹，表面撒饼干碎。12:将边缘折进来。13:然后卷起来。14:用油纸卷紧，再冷藏30分钟定型。15:定型好的毛巾卷表面撒适量可可粉装饰即可。16:下午茶来了！。,原味,烘焙,烘焙,recipe,132,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116392198541646032180856.jpeg?x-oss-process=style/p800
蒜蓉炒茼蒿,十分钟,1:茼蒿洗净沥干水份备用。2:切成小段备用。3:热锅入油，放入蒜蓉小火煸炒。4:放入茼蒿茎大火翻炒一分钟，加入适量盐炒匀。5:放入叶子翻炒至熟，调入少许鸡精调味。6:出锅装盘。7:成品图。8:成品图。,蒜香,炒,热菜,recipe,133,普通,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163921598219823610885274.JPG?x-oss-process=style/p800
番茄裙带豆腐汤,十分钟,1:锅内热油炒香蒜片。2:下番茄翻炒出汁。3:加入开水、豆腐块。4:下裙带菜加盐、煮至三四分钟。5:最后放虾皮、鸡精！入葱花即可。,清淡,煮,汤类,recipe,134,简单,https://i8.meishichina.com/attachment/recipe/2021/11/24/20211124163772568769325910121381.JPG?x-oss-process=style/p800
阿胶姜红糖鸡蛋汤,廿分钟,1:准备阿胶。2:所有食材：敲碎阿胶块、姜红糖、鸡蛋、红枣、枸杞子。3:红枣去核切块。4:锅内放水煮开，倒入阿胶。5:再倒入红枣、枸杞子。6:用勺子把阿胶搅化。7:煮10分钟。8:打入两个鸡蛋。9:煮5分钟。10:最后把姜红糖放入。11:姜红糖煮化后即可关火。12:成品。适合冬季的滋补佳品，益气补血，美容养颜。,甜味,煮,甜品,recipe,135,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116392044732859467796837.jpg?x-oss-process=style/p800
香煎鸡排,十分钟,1:奥尔良鸡排备用（已腌好）。2:热锅入少许油，放入鸡排中火煎一分钟翻面。3:翻面再煎一分钟至熟。4:煎至两面金黄即可出锅。5:成品图。6:成品图。,咸香,煎,热菜,recipe,136,普通,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163921160722635810885274.JPG?x-oss-process=style/p800
冰煮羊火锅,半小时,1:清洗干净的羊肉切成2厘米的肉块备用。2:往锅中倒入全部提前准备好的冰块。3:把切好的羊肉放在冰块上。4:依次放入洋葱、大葱、姜、香叶。5:加水稍微没过冰块。6:盖上盖子小火焖煮15分钟（耐心等待哟~）。7:时间到后，根据个人口味放入盐、枸杞。8:涮菜之前一定要先喝汤~最后涮自己喜欢的菜就好啦~。,清淡,煮,汤类,recipe,137,普通,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163920953003355712863962.png?x-oss-process=style/p800
豆皮炒韭菜,十分钟,1:原料：韭菜和豆皮。韭菜洗净切段，豆皮切宽一点的条。2:锅中倒入油，油热后下入豆皮，翻炒均匀。3:加入生抽翻炒均匀。4:加入韭菜，翻炒。5:加入花椒粉。6:加入盐调味，翻炒均匀，待韭菜八成熟时，关火装盘。7:一道非常简单，好吃的快手菜。,清淡,炒,热菜,recipe,138,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116392079921824988473848.jpeg?x-oss-process=style/p800
菌菇紫菜蛋花汤,十分钟,1:白玉菇洗净切段。2:香菇洗净切片。3:紫菜撕碎，姜切丝，蒜拍碎。4:碗中磕入两个鸡蛋。5:加入盐和料酒搅拌均匀。6:热锅下油，放入姜丝和大蒜。7:倒入菌菇。8:放少许盐炒出香味。9:加入适量水煮开。10:放入紫菜碎。11:淋入蛋液。12:加入少许盐。13:几滴香油和葱花即可。14:一道鲜美的菌菇紫菜蛋花汤就做好了～。,咸鲜,煮,汤类,recipe,139,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163920740604769012864764.jpg?x-oss-process=style/p800
五花肉炒藕片,十分钟,1:原料：藕，五花肉，葱姜蒜。2:藕去皮洗净切片，五花肉切片，葱姜蒜切片。3:锅中倒入油，下五花肉煸炒。4:煸炒出油时，烹入生抽。5:下葱姜蒜炒香。6:下藕片翻炒。7:炒至八分熟时，加入盐和花椒粉调味，炒匀出锅。8:一盘美味的五花肉炒藕片上桌喽。,咸鲜,炒,热菜,recipe,140,普通,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116391993108113288473848.jpeg?x-oss-process=style/p800
回锅肉炒苔菜,廿分钟,1:取熟肉。2:苔菜洗净。3:控下水分，切段。4:放一边备用。5:熟肉切片。6:热锅冷油。7:油热放肉片和花椒。8:翻炒均匀放食盐。9:炒至肉片微黄。10:放苔菜翻炒。11:断生即可。12:起锅装盘。13:成品。,咸鲜,炒,热菜,recipe,141,简单,https://i8.meishichina.com/attachment/recipe/2021/12/10/2021121016391010043513481806550.jpg?x-oss-process=style/p800
自制蒸肉米粉,数小时,1:香米。2:取60克。3:糯米。4:取180克。5:取花椒和八角放进来。6:淘洗干净。7:摊平晾干。8:晾了一夜的米。9:锅烧热，放米。10:忘了放姜，切了姜进来。11:翻炒。12:能看出来贴近锅底的颜色焦黄。13:再不停翻炒几分钟即可关火。14:把米扒拉四周，把八角和姜放中间，自然凉透。15:凉透的米。16:放绞肉机里。17:粗打。18:再放研磨杯里，打细。19:这样有颗粒感即可。20:成品。,五香,其他,私房菜,recipe,142,简单,https://i8.meishichina.com/attachment/recipe/2021/12/10/2021121016391063058713751806550.jpg?x-oss-process=style/p800
萝卜豆腐水饺,一小时,1:萝卜和豆腐，大葱洗净备用。2:去适量面粉加水和成软硬适中的面团醒三十分钟。3:豆腐上锅蒸一下去除豆腥味。4:萝卜切丝入锅中汆烫一下，捞出过凉攥干水分切碎。5:豆腐切小丁，葱切碎末。6:放入五香粉，姜粉用热油淋入激出香味儿，加盐搅拌均匀即可。7:醒好的面搓条改刀同等大小的剂子擀成饺子皮。8:放入适量饺子馅包成自己喜欢的样子。9:依次包好放入保鲜盒中。10:饺子入开水锅中煮熟捞出，素馅易熟哦。11:搭配红油醋汁同食，完美极了。12:成品图。,酸辣,煮,主食,recipe,143,简单,https://i8.meishichina.com/attachment/recipe/2021/12/10/20211210163910612980761510667631.JPG?x-oss-process=style/p800
清香爽脆凉拌茼蒿,廿分钟,1:茼蒿去老根，用淡盐水泡15分钟，洗净控水。2:锅中添水，加入一勺盐、小半勺苏打粉、一勺油，水开放茼蒿，用筷子翻转，茼蒿变色马上捞出，凉水降温。3:茼蒿挤干水分，切段，放上蒜沫。4:锅中加油，放入花椒粒，小火炸出香味后捞出花椒粒。5:用热油泼蒜，加入2勺酱油。6:加入3勺醋、半勺糖。7:放入小米辣，喜欢吃辣的多发，拌匀，尝一下味，淡了加盐。8:装盘，口感爽脆，酸辣开胃。茼蒿既有蒿之清气，也有菊之甘香，自古就有“天然保健品，植物营养素”之美称。9:茼蒿含有特殊香味的挥发油，有宽中理气，消食开胃，增加食欲作用，丰富的粗纤维还有助肠道蠕动；其野芬芳气味可怡心安神、降压益脑。,其他,拌,凉菜,recipe,144,普通,https://i8.meishichina.com/attachment/recipe/2021/12/10/20211210163910609035650612842754.jpg?x-oss-process=style/p800
鸡蛋青菜肉末面,廿分钟,1:油麦菜洗干净。2:备好肉末。我准备多了的，只要了一点。3:烧一锅水，下面条。4:面条软了捞出来放冷水里。5:热锅下点油，关火，放入肉末炒散，再开小火炒香。6:加点酱油，糖。7:加水。烧开。8:打入鸡蛋。9:鸡蛋基本凝固后下入面条。加点盐调味。10:煮熟面条鸡蛋后放入青菜。11:压下去即可熟。12:加了肉末鸡蛋还是美味的。,清淡,煮,面条,recipe,145,简单,https://i8.meishichina.com/attachment/recipe/2021/12/09/20211209163902167395643711343633.jpg?x-oss-process=style/p800
酿青椒,一小时,1:前腿肉洗净切成肉沫。2:青椒切段洗净去籽。3:肉沫加入适量葱花，生抽，蚝油，花生油搅拌均匀。4:将肉沫酿入青椒中。5:锅中热油放入青椒段小火慢煎。6:煎至青椒虎皮状。7:加入适量清水。8:适量蚝油，盐调味。9:焖至青椒断生即可出锅。10:成品。11:成品。,微辣,焖,热菜,recipe,146,简单,https://i8.meishichina.com/attachment/recipe/2021/09/04/2021090416307602259122028010238.JPG?x-oss-process=style/p800
牛肉炖萝卜,一小时,1:牛腱子、啤酒、干卤料准备好；。2:牛腱子切3、4公分大小；。3:入温水锅中，焯煮变色，避开浮沫捞出；。4:另起锅，牛肉、干卤料、盐、黄豆酱、酱油、330ml啤酒倒入锅中，再倒适量热水；。5:大火煮开后转小焖炖，中途水少要加热水；。6:大白萝卜切滚刀块；。7:牛肉煮到9分熟时，加白萝卜同炖；。8:适量补热水，大火煮开转小火；。9:煮到白萝卜能轻松用筷子夹断，撒一把青蒜末，关火即食。10:牛肉炖萝卜，浓汤味美，软烂鲜香！。,咸香,炖,热菜,recipe,147,普通,https://i8.meishichina.com/attachment/recipe/2021/12/10/2021121016391011406615897513584.jpg?x-oss-process=style/p800
葱千层小方，表面焦脆，内层松软，葱香味扑面而来。,数小时,1:小葱60克切成小颗粒，加入融化的无盐黄油50克。2:筛入中筋面粉30克。3:搅拌均匀后备用。4:低筋面粉200克、白砂糖10克、泡打粉8、盐1克、融化的无盐黄油60克、鸡蛋1个、牛奶80克，放一起拌匀。5:用刮刀拌匀后，拿出来砧板上撒一点面粉防粘，稍微揉一会成团即可。6:砧板上撒一点面粉，把面团擀成30x50大小的薄片。7:先左右上下往中间折叠，再对折一下。8:再擀成40x50大小的薄片。9:先取一半的小葱粒，均匀的抹在上面。10:先三折一下，四边压紧收一下口。11:侧过来弄方正。12:再擀成同样大小的薄片。13:抹上剩下的小葱粒。14:再三折一下，四边收口压压紧，弄的方正一点。15:包上保鲜膜，放冰箱冷冻1小时定型。16:取出冷冻好的面团，四边切整齐。17:然后切成同样大小的小方块。18:放在烤盘上，表面涂一层蛋黄液，再撒一点芝麻点缀。19:烤箱180℃提前预热。烤制20-25分钟，最后5分钟可以盖一张锡纸，可以防止表面太焦了。20:葱千层小方，完成O(∩_∩)O。21:表面烤制的焦脆，内层松软，葱香四溢。22:制作简单，新手也可以做得很漂亮哦。,葱香,烘焙,烘焙,recipe,148,高级,https://i8.meishichina.com/attachment/recipe/2021/12/10/2021121016390994643298012121547.jpg?x-oss-process=style/p800
牛肉鱼丸豌豆苗汤,十分钟,1:牛肉。2:鱼丸。3:豌豆苗洗净。4:开水放入牛肉煮5分钟。5:放入鱼丸。6:放入豆苗和葱段，水开立马关火调味。7:装好开吃。8:来，开动啦。,咸鲜,煮,汤类,recipe,149,简单,https://i8.meishichina.com/attachment/recipe/2021/12/08/2021120816389388998494595899877.JPG?x-oss-process=style/p800
原味儿菜,十分钟,1:儿菜。2:洗净切块。3:水开放入锅中。4:加入适量盐。5:准备生抽麻油。6:捞出享用。7:蘸点生抽。8:开动啦。,原味,煮,热菜,recipe,150,简单,https://i8.meishichina.com/attachment/recipe/2021/12/08/2021120816389387879702505899877.JPG?x-oss-process=style/p800
清炒苦瓜,十分钟,1:苦瓜去掉瓤，切成丝。2:放入锅中干煸。3:煸到苦瓜丝发软后，加入姜丝和盐翻炒均匀即可。,苦味,炒,热菜,recipe,151,普通,https://i8.meishichina.com/attachment/recipe/2021/08/03/20210803162796596542810411379263.jpg?x-oss-process=style/p800
五指毛桃芡实排骨汤,数小时,1:排骨冷水下锅加入姜片焯水后洗净备用。2:五指毛桃切小洗净备用。3:薏米用清水洗净备用。4:芡实同样清水洗净备用。5:炖盅放入排骨。6:加入薏米，五指毛桃，芡实。7:加入适量温开水。8:隔水炖煮2小时。9:出锅前少许盐调味即可。10:成品。11:成品。,清淡,炖,汤类,recipe,152,简单,https://i8.meishichina.com/attachment/recipe/2021/09/03/2021090316306427646462658010238.JPG?x-oss-process=style/p800
滑子菇肉片汤面,十分钟,1:准备:面条，腌制好的肉片，提前泡好的滑子菇，芹菜末。2:面条放入开水锅里煮熟，捞出来过凉水沥水后，装入碗里。3:另起锅，放油，下肉片炒香。4:炒至变色。5:放入滑子菇翻炒一下下。6:添加适量的开水大火烧开，调点生抽煮三分钟。7:将芹菜末放入面条里。8:煮好的汤倒入面条中就完成了。9:成品图。10:成品图。,咸鲜,煮,面条,recipe,153,简单,https://i8.meishichina.com/attachment/recipe/2021/12/06/20211206163876343556494810602029.jpg?x-oss-process=style/p800
糖醋小排的做法,一小时,1:准备好食材。2:将排骨冷水下锅，先抄排骨，中间要将抄排骨起的沫沫捞出。3:将抄好的排骨冷水洗净，装盘。4:另起冷水，将抄好的排骨重新放入锅中，再放入切的葱、姜、桂皮、香叶、八角，盐。5:将有排骨的水烧开，烧开过程中加入适量的料酒去腥，将排骨煮到8-9月分熟捞出。6:锅中加入凉油，放入白砂糖，排骨炒糖色。7:然后加入水，没过排骨即可，加入生抽、老抽、少量盐、耗油，水开之后加入适量的冰糖。8:将排骨炖的完全熟透后加入醋收汁即可。9:装盘，放点香菜，也可以放点白芝麻！。,酸甜,煮,热菜,recipe,154,普通,https://i8.meishichina.com/attachment/recipe/2021/12/07/20211207163883938166664912787171.jpg?x-oss-process=style/p800
