name,食材简介,食用功效,适用人群,禁忌人群,营养价值,类别,图片,label,id
辣椒油,"四川红油是食中一绝,其制作方法相当讲究.大葱头晾干后和老姜皮、辣椒粉一起用植物油煎熬，大葱头、老姜皮、辣椒粉的比例约是50：1：16。待油温热，即放下葱花、姜末。油温需要小心控制，不可使油滚热。将1大匙花椒粉装在漏勺内，用汤勺舀温油冲花椒粉。等温油全部舀起，再换1大匙研碎的芝麻粉放在漏勺内，同样舀油冲芝麻粉。经过这两道手续制作出来的油，才称得上是地道的四川红油。","1、增强免疫力：食用辣椒油能增强体力，改善怕冷、冻伤、血管性头痛等症状。
2、护肤：辣椒油能加速新陈代谢，促进荷尔蒙分泌，保健皮肤。
3、降胆固醇：辣椒油富含维生素C，可以控制心脏病及冠状动脉硬化，降低胆固醇。
4、预防慢性疾病：辣椒油含有较多抗氧化物质，可预防癌症及其他慢性疾病。
5、治感冒：辣椒油能够治疗咳嗽、感冒。
6、杀虫：辣椒油能杀抑胃腹内的寄生虫。",一般人群均可食用。,心脑血管疾病患者、肾病患者、孕产妇、眼疾、痔疮患者忌食。,食用辣椒，能增加饭量，增强体力，改善怕冷、冻伤、血管性头痛等症状。辣椒含有一种物殊物质，能加速新陈代谢，促进荷尔蒙分泌，保健皮肤。富含维生素C，可以控制心脏病及冠状动脉硬化，降低胆固醇。含有较多抗氧化物质，可预防癌症及其他慢性疾病。可以使呼吸道畅通，用以治疗咳嗽、感冒。辣椒还能杀抑胃腹内的寄生虫。,调味品,https://i3.meishichina.com/attachment/201512/28/14512944101223.jpg,material,204
菜籽油,菜籽油就是我们俗称的菜油，又叫香菜油，是以十字花科植物芸苔(即油菜)的种子榨制所得的透明或半透明状的液体。菜籽油色泽金黄或棕黄，有一定的刺激气味，民间叫作“青气味”。这种气体是其中含有一定量的芥子甙所致，但特优品种的油菜子则不含这种物质。是我国主要食用油之一，主产于长江流域及西南、西北等地，产量居世界首位。,"1、具有一定的软化血管、延缓衰老的功效。
2、可润燥杀虫、散火丹、消肿毒。",一般人群均可食用。,老人少吃。,"人体对菜籽油的吸收率很高，可达99%。因此它所含的亚油酸等不饱和脂肪酸和维生素E等营养成分能很好地被机体吸收，具有一定的软化血管、延缓衰老的功效。
由于榨油的原料是植物的种实，一般会含有一定的种子磷脂，对血管、神经、大脑的发育十分重要。
菜籽油的胆固醇很少或几乎不含，所以控制胆固醇摄入量的人可以放心食用。
菜籽油是一种芥酸含量特别高的油，是否会引起心肌脂肪沉积和使心脏受损目前尚有争议，所以有冠心病、高血压的患者还是应当注意少吃。",调味品,https://i3.meishichina.com/attachment/201512/21/14506882823632.jpg,material,205
母鸡,,,,,,,,material,206
青菜,泛指绿色蔬菜，统称青菜。云南人也将苦菜称为青菜。,"1、降低血脂：青菜为低脂肪蔬菜，且含有膳食纤维，能与胆酸盐和食物中的胆固醇及甘油三酯结合，性味寒凉,伤脾胃,务必加少许寒必温缓和寒凉之性。并从粪便中排出，从而减少脂类的吸收，故可用来降血脂。中医认为青菜能活血化瘀、散血消肿的作用，可用于孕妇产后淤血腹痛以及治疗疖肿、丹毒。
2、解毒消肿：青菜中所含的植物激素，能够增加酶的形成，对进人人体内的致癌物质有吸附排斥作用，故有防癌功能。此外，还具有促进血液循环、、丹毒菜还能增强肝脏的排毒机制，对皮肤疮疖。乳痈有治疗作用。
3、宽肠通便：青菜中含有大量的植物纤维素，能促进肠道蠕动，增加粪便的体积，缩短粪便在肠腔停留的时间，从而治疗多种便秘，预防肠道肿瘤。主治游风丹毒，手足疖肿，乳痈，习惯性便秘，老年人缺钙等病症。
4、美容保健：青菜中含有的维生素C、胡萝卜素是人体黏膜及上皮组织维持生长的重要营养物质，常食具有美容作用。青菜所含钙量在绿叶蔬菜中为最高，一个成年人一天吃500克青菜，其所含钙、铁、维生素A和C即可满足生理需求。另外青菜还有助于增强机体免疫能力。 ",一般人均可食用，特别适宜患口腔溃疡、口角湿白、齿龈出血、牙齿松动、淤血腹痛、癌症患者。,痧痘、孕早期妇女、目疾患者、小儿麻疹后期、疥疮、狐臭等慢性病患者要少食。 ,含有蛋白质、脂肪、糖类、膳食纤维、钙、磷、铁、胡萝卜素、维生素B1、维生素B2、烟酸、维生素C等。,蔬菜,https://i3.meishichina.com/attachment/201512/23/14508636603967.jpg,material,207
豆花,,,,,,,,material,208
青椒,青椒为植物界，双子叶植物纲，菊亚纲，茄科。果实为浆果。别名很多，大椒、灯笼椒、柿子椒、都是它的名字，因能结甜味浆果，又叫甜椒、菜椒。一年生或多年生草本植物，特点是果实较大，辣味较淡甚至根本不辣，作蔬菜食用而不作为调味料。由于它翠绿鲜艳，新培育出来的品种还有红、黄、紫等多种颜色，因此不但能自成一菜，还被广泛用于配菜。青椒由原产中南美洲热带地区的辣椒在北美演化而来，经长期栽培驯化和人工选择，使果实发生体积增大，果肉变厚，辣味消失和心皮及子房腔数增多等性状变化。中国于100多年前引入，现全国各地普遍栽培。,"1、解热、镇痛：辣椒辛温，能够通过发汗而降低体温，并缓解肌肉疼痛，因此具有较强的解热镇痛作用。
2、防癌：辣椒的有效成分辣椒素是一种抗氧化物质，它可阻止有关细胞的新陈代谢，从而终止细胞组织的癌变过程，降低癌症细胞的发生率。
3、增加食欲、帮且消化：辣椒强烈的香辣味能刺激唾液和胃液的分泌，增加食欲，促进肠道蠕动，帮助消化。
4、降脂减肥：辣椒所含的辣椒素，能够促进脂肪的新陈代谢，防止体内脂肪积存，有利于降脂减肥防病。",一般人群均可食用。,眼疾患者、食管炎、胃肠炎、胃溃疡、痔疮患者应少吃或忌食；同时有火热病症或阴虚火旺，高血压，肺结核病的人慎食。,青椒果肉厚而脆嫩，维生素C含量丰富。青果含水分93、9%左右、碳水化合物约3、8%，维生素C；红熟果含维生素C最高可达460毫克。可凉拌、炒食、煮食、作馅、腌渍和加工制罐，制蜜饯。,蔬菜,,material,209
红肠,,,,,,,,material,210
豆豉,"豆豉（Glycine max）是以大豆或黄豆为主要原料，利用毛霉、曲霉或者细菌蛋白酶的作用，分解大豆蛋白质，达到一定程度时，加盐、加酒、干燥等方法，抑制酶的活力，延缓发酵过程而制成。
豆豉的种类较多，按加工原料分为黑豆豉和黄豆豉，按口味可分为咸豆豉和淡豆豉。我国长江以南地区常用豆豉作为调料，也可直接蘸食。豆豉为传统发酵豆制品，以颗粒完整、乌黑发亮、松软即化且无霉腐味为佳。",豆豉作为家常调味品，适合烹饪鱼肉时解腥调味。豆豉又是一味中药，风寒感冒，怕冷发热，寒热头痛，鼻塞喷嚏，腹痛吐泻者宜食；胸膈满闷，心中烦躁者宜食。,一般人群均可食用。,一般人群均可食用。,"1、豆豉中含有很高的尿激酶，尿激酶具有溶解血栓的作用。
2、豆豉中含有多种营养素，可以改善胃肠道菌群,常吃豆豉还可帮助消化、预防疾病、延缓衰老、增强脑力、降低血压、消除疲劳、减轻病痛、预防癌症和提高肝脏解毒(包括酒精毒)功能。
3、豆豉还可以解诸药毒、食毒。",调味品,https://i3.meishichina.com/attachment/201512/18/14504229772335.jpg,material,211
苦瓜,苦瓜又名凉瓜，是葫芦科植物，为一年生攀缘草本。茎、枝、叶柄及花梗披有柔毛，腋生卷须。叶子的直径达3至12厘米，有5至7道掌状深裂，裂片呈椭圆形，外沿有锯齿。春夏之交开花，雌雄同株，黄色。果实长椭圆形，表面具有多数不整齐瘤状突起。种子藏于肉质果实之中，成熟时有红色的囊裹着。苦瓜是人们喜爱的一种蔬菜，原产地不清楚，但一般认为是原产于热带地区。在南亚、东南亚、中国、和加勒比海群岛均有广泛的种植。,"1、清热益气：苦瓜具有清热消暑、养血益气、补肾健脾、滋肝明目的功效，对治疗痢疾、疮肿、中暑发热、痱子过多、结膜炎等病有一定的功效。
2、保护机体：苦瓜具有预防坏血病、保护细胞膜、防止动脉粥样硬化、提高机体应激能力、保护心脏等作用。
3、抗癌：苦瓜中的有效成分可以抑制正常细胞的癌变和促进突变细胞的复原，具有一定的抗癌作用。
4、美容肌肤：苦瓜能滋润白皙皮肤，还能镇静和保湿肌肤，特别是在容易燥热的夏天，敷上冰过的苦瓜片，能立即解除肌肤的烦躁。",一般人群均可食用。糖尿病、癌症患者适宜。,孕妇、脾胃虚寒者慎食。,"1、促进饮食、消炎退热：
苦瓜中的苦瓜甙和苦味素能增进食欲，健脾开胃；所含的生物碱类物质奎宁，有利尿活血、消炎退热、清心明目的功效；
2、防癌抗癌：
苦瓜蛋白质成分及大量维生素C能提高机体的免疫功能，使免疫细胞具有杀灭癌细胞的作用；苦瓜汁含有某种蛋白成分，能加强巨噬能力，临床上对淋巴肉瘤和白血病有效；从苦瓜籽中提炼出的胰蛋白酶抑制剂，可以抑制癌细胞所分泌出来的蛋白酶，阻止恶性肿瘤生长；
3、降低血糖：
苦瓜的新鲜汁液，含有苦瓜甙和类似胰岛素的物质，具有良好的降血糖作用，是糖尿病患者的理想食品。",蔬菜,,material,212
红油,,,,,,,,material,213
猪骨头,猪骨即猪科动物猪的骨头。我们经常食用的是排骨和腿骨。,"1、猪骨除含蛋白质、脂肪、维生素外，还含有大量磷酸钙、骨胶原、骨黏蛋白等。
2、骨头汤中含有的胶原蛋白，能增强人体制造血细胞的能力。所以对于中老年人来说，喝些骨头汤加以调理，可以减缓骨骼老化；同样，骨头汤也能有利于青少年的骨骼生长。 ",一般人群均可食用。更适宜中老年人、青少年。,感冒发热期间忌食，急性肠道炎感染者忌食；骨折初期(1～2周)不宜饮用排骨汤，中期可少量进食，后期饮用可达到很好的食疗效果。,"猪骨除含蛋白、脂肪、维生素外，还含有大量磷酸钙、骨胶原、骨粘蛋白等，可为幼儿和老人提供钙质。
猪骨有很高的营养价值，具有滋阴壮阳、益精补血的功效。熬汤来放上葱，和一些相应的调味料，煮过后非常美味，也很有营养。",肉禽类,https://i3.meishichina.com/attachment/201512/3/14491207675177.jpg,material,214
橄榄,,,,,,,,material,215
莲子,莲子，是睡莲科水生草本植物莲的种子。又称莲实、莲米、莲肉。莲，又称荷芙蓉、水芝。我国大部分地区均有出产，而以江西广昌福建建宁产者最佳。1985年中国科学院武汉植物研究所对四大莲子进行营养成分进行了对比测试，湘潭的寸三莲在氨基酸、蛋白质等17项主要指标全部优于其它莲子，被誉为“中国第一莲”。秋、冬季果实成熟时，割取莲房（莲蓬），取出果实；或取坠入水中，沉于泥内的果实，除去果壳，鲜用或晒干用，或剥去莲子的外皮和心（青色的胚芽）用，特称为莲肉。,"1、防癌抗癌：莲子所含氧化黄心树宁碱对鼻咽癌有抑制作用，构成了莲子的防癌抗癌的营养保健功能。
2、降血压作用：莲子所含非结晶形生物碱N－9有降血压作用。
3、强心安神：莲芯碱则有较强抗钙及抗心律不齐的作用。
4、滋养补虚、止遗涩精：对于青年人梦多，遗精频繁或滑精者，服食莲子有良好的止遗涩精作用。",一般人群均可食用；尤适宜中老年人体虚、失眠、食欲不振及癌症病人。,中满痞胀及大便燥结者忌服；体虚或者脾胃功能弱者慎食。,莲子中的钙、磷和钾含量非常丰富，每公斤莲子中含有蛋白质81.3克，脂肪9.8克，糖304毫克，钙436毫克，磷1.397毫克，铁31.4毫克，还含有其他多种维生素、微量元素、荷叶碱、金丝草甙等物质，除可以构成骨骼和牙齿的成分外，还有促进凝血，使某些酶活化，维持神经传导性，镇静神经，维持肌肉的伸缩性和心跳的节律等作用。对治疗神经衰弱、慢性胃炎、消化不良、高血压等也有一定功效。丰富的磷还是细胞核蛋白的主要组成部分，帮助机体进行蛋白质、脂肪、糖类代谢，并维持酸碱平衡，对精子的形成也有重要作用。莲子有养心安祥的功效。中老年人特别是脑力劳动者经常食用，可以健脑，增强记忆力，提高工作效率，并能预防老年痴呆的发生。莲子中央绿色的芯，称莲子芯，含有莲心碱、异莲心碱等多种生物碱，味道极苦，有清热泻火之功能，还有显著的强心作用，能扩张外周血管，降低血压。可以治疗口舌生疮，并有助于睡眠。用作补益药，补脾止泻，益肾涩精，养心安神。可治疗脾虚久泻、泻久痢、肾虚遗精、滑泄、小便不禁、妇人崩漏带下、心神不宁、惊悸、不眠。,果品,https://i3.meishichina.com/attachment/201511/26/14485203804620.jpg,material,216
宽豆角,宽豆角为豆科、扁豆属的一个栽培种，多年生或一年生缠绕藤本植物，食用嫩荚或成熟豆粒。,"1、消退肿瘤：扁豆显著的消退肿瘤的作用。肿瘤患者宜常吃扁豆，有一定的辅助食疗功效。
2、增进食欲：扁豆富含蛋白质和多种氨基酸，经常食用能健脾胃，增减食欲，消暑清口。
3、补血：扁豆中含有丰富的维生素C和铁，经常食用对缺铁性贫血患者有益。",一般人群均可食用。,患寒热病者，患冷气人，患疟者、尿路结石者忌食。,"1、宽豆角的营养成分相当丰富，包括蛋白质、脂肪、糖类、钙、磷、铁及食物纤维、维A原、维生素B1、维生素B2、维C和氰甙、酪氨酸酶等，宽豆角衣的B族维生素含量特别丰富。
2、宽豆角还有磷脂、蔗糖、葡萄糖。
3、宽豆角中还含有血球凝集素，这是一种蛋白质类物质，可增加脱氧核糖核酸和核糖核酸的合成，抑制免疫反应和白细胞与淋巴细胞的移动，故能激活肿瘤病人的淋巴细胞产生淋巴毒素，对肌体细胞有非特异性的伤害作用，故有显着的消退肿瘤的作用。肿瘤患者宜常吃宽豆角，有一定的辅助食疗功效。宽豆角气清香而不串，性温和而色微黄，与脾性最合。",蔬菜,,material,217
小米,"小米中国古称稷或粟。脱壳制成的粮食，因其粒小，直径2毫米左右，故名。原产于中国北方黄河流域，中国古代的主要粮食作物，所以夏代和商代属于“粟文化”。粟生长耐旱，品种繁多，俗称“粟有五彩”，有白、红、黄、黑、橙、紫各种颜色的小米，也有粘性小米。中国最早的酒也是用小米酿造的。粟适合在干旱而缺乏灌溉的地区生长。其茎、叶较坚硬，可以作饲料，一般只有牛能消化。粟在中国北方俗称谷子。
粟以耐干旱和瘠薄著称，这与其叶片表皮细胞壁厚，内含大量硅素,叶脉密集,气孔多，根系致密，吸收力强等有关。蒸腾系数平均为257左右,低于玉米和高粱。发育前期需水最少，中期需水最多，以小花原基分化到花粉母细胞四分体时期对水分最敏感，灌浆期也需一定水分，以后则需水较少。喜温，但生育期短，故对积温要求并不太高，完成生长发育要求的积温在1600～3000℃之间。发芽适宜温度为15～25℃，最高30℃，茎叶生长适宜温度为22～25℃，子粒形成期适宜温度为20～22℃，低于20℃则延缓灌浆。粟是短日照作物，对光照反应很敏感，尤以生长点分化前后反应最为强烈。富于短光波的日间光和适当缩短日照可促进发育。","1、防治消化不良：具有防止泛胃的功效。小米具有滋阴养血的功效，可以使产妇虚寒的体质得到调养，帮助她们恢复体力。小米对抗泻肚子、呕吐、消化不良及糖尿者，都有帮助。
2、减少细菌：小米也能解除口臭，减少口中的细菌滋生，还能治脚气病，神经炎和癞皮病，失眠、头疼、精神倦怠、皮肤“出油”、头皮屑增多等症状。
3、防流产能滋阴：小米的丰富氨基酸帮助预防流产，抗菌及预防女性阴道发炎。小米中所含的类雌激素物质，能滋阴。
4、能维持生长和生殖力正常：能防止男性阴囊皮肤出现渗液、糜烂、脱屑等现象；防止女性会阴瘙痒、阴唇皮炎和白带过多。使性器官和第二性征发育健全；使男性勃起坚硬、精子数量正常、前列腺不致肿大；使女性月经和性欲正常；使所怀胎儿发育健全，不致畸，生长正常。
5、能维持性功能：有利于性欲，精子数量、交配能力、生殖功能健康正常。
6、保持胎儿的正常发育：可避免胎儿痴呆或智力低下或骨骼发育延缓或成为侏儒症患者。
7、祛斑美容：减轻皱纹、色斑、色素沉着的功效。",一般人群均可食用。,气滞者忌用；素体虚寒，小便清长者少食。,"1.小米中汗蛋白质、脂肪、碳水化合物这几种主要营养素含量很高，而且由于小米通常无须精制，因此保存了较多的营养素和矿物质，其中维生素B1含量是大米的几倍，矿物质的含量也高于大米。一般粮食中不含有的胡萝卜素，小米每100克含量达0.12毫克。
2.小米含铁量突出，有很好的补血效果，其磷含量也很高，是大米的2~3倍，含有大量的维生素E，为大米的4.8倍。
3.含钾高含钠低，含量比为66：1，膳食纤维是大米的4倍，但其蛋白质中赖氨酸含量很低，所以应与大豆和肉类等氨基酸含量较高的食物同食。
4.小米的淀粉含量高约70%，是一种能量食物。
",米面豆乳,https://i3.meishichina.com/attachment/201512/15/14501715797742.jpg,material,218
苹果,苹果，落叶乔木，叶子椭圆形，花白色带有红晕。果实圆形，味甜或略酸，是常见水果，具有丰富营养成分，有食疗、辅助治疗功能。苹果原产于欧洲、中亚、西亚和土耳其一带，于十九世纪传入中国。中国是世界最大的苹果生产国，在东北、华北、华东、西北和四川、云南等地均有栽培。,"1、补血：铁质必须在酸性条件下和在维生素C存在的情况下才能被吸收，所以吃苹果对缺铁性贫血有较好的防治作用。
2、保养肌肤：苹果中富含镁，镁可以使皮肤红润光泽、有弹性。
3、保护心脏：苹果的纤维、果胶、抗氧化物等能降低体内坏胆固醇并提高好胆固醇含量，所以每天吃一两个苹果不容易得心脏病。
4、苹果生吃治便秘，熟吃治腹泻：苹果中含有丰富的鞣酸、果胶、膳食纤维等特殊物质，鞣酸是肠道收敛剂，它能减少肠道分泌而使大便内水分减少，从而止泻。而果胶则是个“两面派”，未经加热的生果胶有软化大便缓解便秘的作用，煮过的果胶却摇身一变，具有收敛、止泻的功效。膳食纤维又起到通便作用。
5、宁神安眠：苹果中含有的磷和铁等元素，易被肠壁吸收，有补脑养血、宁神安眠作用。苹果的香气是治疗抑郁和压抑感的良药。研究发现，在诸多气味中，苹果的香气对人的心理影响最大，它具有明显的消除心理压抑感的作用。
6、美白养颜、降低胆固醇：苹果中的胶质和微量元素铬能保持血糖的稳定，还能有效地降低胆固醇。苹果中的粗纤维可促进肠胃蠕功，并富含铁、锌等微量元素，可使皮肤细润有光泽，起到美容瘦身的作用。",慢性胃炎、消化不良、气滞不通者，便秘、慢性腹泻、神经性结肠炎，高血压、膏血脂和肥胖患者，癌症患者、贫血和维生素缺乏者尤其适合。,肾炎和糖尿病患者不宜多吃。,"1、苹果中的胶质和微量元素铬能保持血糖的稳定，还能有效地降低胆固醇；
2、在空气污染的环境中，多吃苹果可改善呼吸系统和肺功能，保护肺部免受污染和烟尘的影响；
3、苹果中含的多酚及黄酮类天然化学抗氧化物质，可以减少肺癌的危险，预防铅中毒；
4、苹果特有的香味可以缓解压力过大造成的不良情绪，还有提神醒脑的功效；
5、苹果中富含粗纤维，可促进肠胃蠕动，协助人体顺利排出废物，减少有害物质对皮肤的危害；
6、苹果中含有大量的镁、硫、铁，铜、碘、锰、锌等微量元素，可使皮肤腻、润滑、红润有光泽。
",果品,,material,219
黑糖,黑糖本意上是颜色较深的、没有经过高度精炼食用蔗糖，由于颜色近似黑色， 故在日本和台湾被称为黑糖。黑糖是没有经过高度精炼、脱色的蔗糖，除了提供热能外，还含有微量元素，如钙、钾、铁、镁及叶酸和其它矿物质等。具有很高的营养价值，而且有利于人体内酸碱平衡。,"1、中医认为，黑糖性温味甘，入脾，具有补中益气、缓中、化食，健脾暖胃功能，
2、还有止疼、行、活血散寒的效用。受寒腹痛、月经来时易感冒者，也可用黑糖姜汤来袪寒。
3、对老年体弱，特别是大病初愈的人，黑糖亦有极佳的疗虚进补作用，老人吃些黑糖能散瘀活血，利肠通便，缓肝明目，可起益气健胃、温补心肺作用。",经期女性更为适合。,阴虚内热者不宜多吃黑糖；肥胖者、各种眼疾患者均不宜多食。,黑糖除了提供热能外，还含有微量元素，如钙、钾、铁、镁及叶酸和其它矿物质等。具有很高的营养价值，而且有利于人体内酸碱平衡。,调味品,https://365jia.cn/uploads/news/folder_1725501/images/03c51839ca10963dd2fcf7aa01badec1.png,material,220
百合,百合的主要应用价值在于观赏，其球根含丰富淀粉质，部分品种可作为蔬菜食用，中医认为百合性微寒平，具有清火、润肺、安神的功效，其花、鳞状茎均可入药，是一种药食兼用的花卉。另外，百合还可制作成百合干、百合粉。,"1、润肺止咳：甘凉清润，主入肺心，长于清肺润燥止咳，清心安神定惊，治肺阴虚的燥热咳嗽，肺虚久咳、痰中带血、劳嗽咯血等，为肺燥咳嗽、虚烦不安所常用。
2、宁心安神：百合入心经，性微寒，能清心除烦，宁心安神，用于热病后余热未消、神思恍惚、失眠多梦、心情抑郁、喜悲伤欲哭等病症。
3、美容养颜：百合洁白娇艳，鲜品富含黏液质及维生素，对皮肤细胞新陈代谢有益，常食百合，有一定美容作用。
4、防癌抗癌：百合含多种生物碱，对白细胞减少症有预防作用，能升高血细胞，对化疗及放射性治疗后细胞减少症有治疗作用。百合在体内还能促进和增强单核细胞系统和吞噬功能，提高机体的体液免疫能力，因此百合对多种癌症均有较好的防冶效果。",一般人群都可食用。特别适宜体虚肺弱者、神经衰弱者、睡眠不宁、慢性支气管炎症状者食用。,风寒咳嗽、虚寒出血、脾胃不佳者忌食。,"百合除含有淀粉、蛋白质、脂肪及钙、磷、铁维生素B1、B2、C，泛酸、胡萝卜素等营养素外，还含有一些特殊的营养成分，如秋水仙碱等多种生物碱。这些成分综合作用于人体，不仅具有良好的营养滋补之功，而且还对秋季气候干燥而引起的多种季节性疾病有一定的防治作用。
",蔬菜,https://i3.meishichina.com/attachment/good/2014/11/21/201411211153198125.jpg,material,221
纯净水,,,,,,,,material,222
菠萝,"菠萝原名凤梨，原产巴西, 16世纪时传入中国, 有70多个品种, 岭南四大名果之一。菠萝含用大量的果糖，葡萄糖，维生素A、B、C，磷，柠檬酸和蛋白酶等物。味甘性温，具有解暑止渴、消食止泻之功，为夏令医食兼优的时令佳果。","1、消除水肿：溶解阻塞于组织中的纤维蛋白和血凝块，改善局部的血液循环，消除炎症和水肿
2、减肥、助消化，促进食欲：具有健胃消食、补脾止泻、清胃解渴的功效
3、去油腻，清理肠胃：菠萝中所含的蛋白质分解酵素可以分解蛋白质及助消化
5、美容：防止皮肤干裂，滋润头发的光亮
6、保健：促进血液循环酶，素来可以降低血压，稀释血脂
7、消除感冒：新鲜的菠萝汁，它有降温的作用，并能有效地降低支气管
8.利尿：适当食用对肾炎，高血压病患者有益。",一般人群均可食用。除溃疡病、肾脏病、凝血功能障碍者均可食用。,患有溃疡病、肾脏病的人忌食。,"菠萝味甘、微酸、性平，入胃、肾经；具有健胃消食、解热消暑、解酒、降血压、抗癌、补脾止泻、清胃解渴等功用。可用于消化不良、肠炎腹泻、伤暑、身热烦渴等症，也可用于高血压眩晕、手足软弱无力的辅助治疗。
菠萝中所含有的糖、盐类和酶有利尿作用，适当食用对于患高血压和肾炎的病人有好处。此外，菠萝酶还有溶解阻塞于组织中的纤维蛋白和血凝块的作用，能改善局部的血液循环，消除炎症和水肿。
菠萝含有一种叫“菠萝朊酶”的物质，它能分解蛋白质，溶解阻塞于组织中的纤维蛋白和血凝块，改善局部的血液循环，消除炎症和水肿；菠萝中所含糖、盐类和酶有利尿作用，适当食用对肾炎，高血压病患者有益。",果品,https://i3.meishichina.com/attachment/201511/11/14472370817255.jpg,material,223
快菜,快菜形像小白菜但比小白菜稍大，尤其像小一号的大白菜。其实，快菜我们完全可以归纳为——早熟的大白菜。其具有生育期60天，白帮、直筒合抱、叶色浅绿的特征与特性。高36厘米，球径12厘米左右，外叶8～9片，最大叶片40×30厘米左右。我国南北各地均可种植。,味甘，性微寒。能益胃生津，清热除烦，利小便，利肠道。,一般人群均可食用。,无禁忌人群。,"含维生素B1.B2.C，烟酸、胡萝卜、钙、磷、铁、蛋白质、脂肪、粗纤维等成分。
",蔬菜,,material,224
白煮蛋,,,,,,,,material,225
松花蛋,松花蛋也叫皮蛋、变蛋、彩蛋、碱蛋或泥蛋等，是用石灰等原料腌制后的蛋类食品，因蛋白中常有松针状的结晶或花纹而得名。它是我国传统的风味蛋制品，不仅为国内广大消费者所喜爱，在国际市场上也享有盛名。,"1、刺激消化器官，增进食欲，促进营养的消化吸收，中和胃酸，清凉，降压。
2、具有润肺、养阴止血、凉肠、止泻、降压之功效。
3、松花蛋还有保护血管的作用。同时还有提高智商，保护大脑的功能。",一般人群均可食用。尤适宜火旺者。,少儿、脾阳不足、寒湿下痢者、心血管病、肝肾疾病患者少食。,松花蛋较鸭蛋含更多矿物质，脂肪和总热量却稍有下降，它能刺激消化器官，增进食欲，促进营养的消化吸收，中和胃酸，清凉，降压。具有润肺、养阴止血、凉肠、止泻、降压之功效。此外，松花蛋还有保护血管的作用。同时还有提高智商，保护大脑的功能。,肉禽类,https://i3.meishichina.com/attachment/201512/1/14489647399524.jpg,material,226
苦菊,苦菊进入初夏后会开蓝色小花，是清晨绽放、晚上闭合的一日型香草，但能够连续不断的开展。叶有苦味，软化后苦味减少而柔软，性喜冷凉气候，初夏抽花茎，花和嫩叶可加入色拉，或炒熟食用，有抗菌、解热、消炎、明目等作用。,"1、防治贫血，消暑保健：苦菊中含有丰富的胡萝卜素、维生素C以及钾盐、钙盐等，对预防和治疗贫血病，维持人体正常的生理活动，促进生长发育和消暑保健有较好的作用。
2、清热解毒，杀菌消炎：苦菊中含有蒲公英甾醇、胆碱等成分，对金黄色葡萄球菌耐药菌株、溶血性链球菌有较强的杀菌作用，对肺炎双球菌、脑膜炎球菌、白喉杆菌、绿脓杆菌、痢疾杆菌等也有一定的杀伤作用，故对黄疸性肝炎、咽喉炎、细菌性痢疾、感冒发热及慢性气管炎、扁桃体炎等均有一定的疗效。
3、防治癌症：苦菊水煎剂对急性淋巴型白血病、急慢性粒细胞白血病患者的血细胞脱氧酶有明显的抑制作用，还可用于防治宫颈癌、直肠癌、肛门癌症。",一般人群均可食用。,脾胃虚弱、纳少便溏者不宜食用。,"1、苦菊中含蛋白质，膳食纤维较高，钙、磷、锌、铜、铁、锰等微量元素较全，以及维生素B1、B2、C、胡萝卜素、烟酸等。此外，还含有腊醇、胆碱、酒石酸、苦味素等化学物质。
2、苦菊中含有维生素C，胡萝卜素，分别是菠菜中含量的2.1和2．3倍。苦菊嫩叶中氨基酸种类齐全，且各种氨基酸之间比例适当。食用苦菜有助于促进人体内抗体的合成，增强机体免疫力，促进大脑机能。
3、苦菊中丰富的铁元素有利于预防贫血。",蔬菜,https://i3.meishichina.com/attachment/201512/11/1449822918676.jpg,material,227
